/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=25604, episodic_return=[250.]
global_step=25739, episodic_return=[400.]
global_step=25805, episodic_return=[350.]
global_step=25853, episodic_return=[200.]
global_step=25920, episodic_return=[250.]
global_step=25968, episodic_return=[200.]
global_step=26022, episodic_return=[100.]
global_step=26069, episodic_return=[100.]
global_step=26126, episodic_return=[150.]
global_step=26232, episodic_return=[550.]
global_step=26303, episodic_return=[150.]
global_step=26359, episodic_return=[200.]
global_step=26426, episodic_return=[350.]
global_step=26486, episodic_return=[200.]
global_step=26572, episodic_return=[400.]
global_step=26671, episodic_return=[600.]
global_step=26726, episodic_return=[200.]
global_step=26819, episodic_return=[450.]
global_step=26875, episodic_return=[100.]
global_step=26920, episodic_return=[50.]
global_step=26969, episodic_return=[50.]
global_step=27018, episodic_return=[200.]
global_step=27059, episodic_return=[50.]
global_step=27106, episodic_return=[50.]
global_step=27176, episodic_return=[200.]
global_step=27256, episodic_return=[250.]
global_step=27310, episodic_return=[200.]
global_step=27380, episodic_return=[400.]
global_step=27430, episodic_return=[350.]
global_step=27495, episodic_return=[300.]
global_step=27545, episodic_return=[50.]
global_step=27628, episodic_return=[250.]
global_step=27691, episodic_return=[250.]
global_step=27741, episodic_return=[250.]
global_step=27806, episodic_return=[200.]
global_step=27873, episodic_return=[150.]
global_step=27912, episodic_return=[100.]
global_step=27958, episodic_return=[150.]
global_step=28002, episodic_return=[50.]
global_step=28049, episodic_return=[100.]
global_step=28113, episodic_return=[150.]
global_step=28161, episodic_return=[200.]
global_step=28218, episodic_return=[250.]
global_step=28269, episodic_return=[100.]
global_step=28315, episodic_return=[100.]
global_step=28370, episodic_return=[100.]
global_step=28453, episodic_return=[100.]
global_step=28518, episodic_return=[200.]
global_step=28564, episodic_return=[50.]
global_step=28653, episodic_return=[350.]
global_step=28721, episodic_return=[150.]
global_step=28775, episodic_return=[50.]
global_step=28858, episodic_return=[250.]
global_step=28934, episodic_return=[300.]
global_step=28976, episodic_return=[50.]
global_step=29021, episodic_return=[100.]
global_step=29070, episodic_return=[50.]
global_step=29113, episodic_return=[50.]
global_step=29157, episodic_return=[100.]
global_step=29242, episodic_return=[250.]
global_step=29333, episodic_return=[300.]
global_step=29377, episodic_return=[50.]
global_step=29453, episodic_return=[450.]
global_step=29507, episodic_return=[200.]
global_step=29593, episodic_return=[250.]
global_step=29662, episodic_return=[250.]
global_step=29699, episodic_return=[50.]
global_step=29786, episodic_return=[500.]
global_step=29859, episodic_return=[350.]
global_step=29902, episodic_return=[50.]
global_step=29984, episodic_return=[400.]
global_step=30046, episodic_return=[150.]
global_step=30113, episodic_return=[200.]
global_step=30191, episodic_return=[250.]
global_step=30250, episodic_return=[150.]
global_step=30292, episodic_return=[100.]
global_step=30344, episodic_return=[100.]
global_step=30388, episodic_return=[200.]
global_step=30468, episodic_return=[450.]
global_step=30510, episodic_return=[50.]
global_step=30586, episodic_return=[250.]
global_step=30674, episodic_return=[200.]
global_step=30735, episodic_return=[200.]
global_step=30799, episodic_return=[250.]
global_step=30847, episodic_return=[150.]
global_step=30913, episodic_return=[250.]
global_step=30963, episodic_return=[200.]
